Station Name,Grid Coordinates,Coordinates
BOX,"[102, 45]","[[[-70.3239517, 41.5835704], [-70.3239517, 41.5620899], [-70.2952346, 41.5620899], [-70.2952346, 41.5835704], [-70.3239517, 41.5835704]]]"
BOX,"[103, 45]","[[[-70.2952384, 41.5796222], [-70.2952384, 41.558134], [-70.266529, 41.558134], [-70.266529, 41.5796222], [-70.2952384, 41.5796222]]]"
BOX,"[105, 46]","[[[-70.2325096, 41.5931549], [-70.2325096, 41.5716857], [-70.2037849, 41.5716857], [-70.2037849, 41.5931549], [-70.2325096, 41.5931549]]]"
BOX,"[115, 48]","[[[-69.9347496, 41.5961647], [-69.9347496, 41.574695500000004], [-69.9060554, 41.574695500000004], [-69.9060554, 41.5961647], [-69.9347496, 41.5961647]]]"
BOX,"[117, 48]","[[[-69.8773498, 41.5881233], [-69.8773498, 41.5666542], [-69.84864800000001, 41.5666542], [-69.84864800000001, 41.5881233], [-69.8773498, 41.5881233]]]"
BOX,"[118, 48]","[[[-69.848648, 41.584095], [-69.848648, 41.5626258], [-69.8199462, 41.5626258], [-69.8199462, 41.584095], [-69.848648, 41.584095]]]"
BOX,"[119, 48]","[[[-69.8199539, 41.5800628], [-69.8199539, 41.5585937], [-69.7912673, 41.5585937], [-69.7912673, 41.5800628], [-69.8199539, 41.5800628]]]"
BOX,"[120, 48]","[[[-69.7912635, 41.5760231], [-69.7912635, 41.5545539], [-69.7625694, 41.5545539], [-69.7625694, 41.5760231], [-69.7912635, 41.5760231]]]"
BOX,"[124, 49]","[[[-69.6710968, 41.581295], [-69.6710968, 41.5598258], [-69.6424102, 41.5598258], [-69.6424102, 41.581295], [-69.6710968, 41.581295]]]"
BOX,"[129, 50]","[[[-69.5222282, 41.5823879], [-69.5222282, 41.5609302], [-69.4935493, 41.5609302], [-69.4935493, 41.5823879], [-69.5222282, 41.5823879]]]"
BOX,"[15, 31]","[[[-72.8969383, 41.6087741], [-72.8969383, 41.587224899999995], [-72.86812210000001, 41.587224899999995], [-72.86812210000001, 41.6087741], [-72.8969383, 41.6087741]]]"
BOX,"[16, 31]","[[[-72.8681182, 41.6052284], [-72.8681182, 41.5836753], [-72.8392944, 41.5836753], [-72.8392944, 41.6052284], [-72.8681182, 41.6052284]]]"
BOX,"[19, 32]","[[[-72.7769203, 41.6160945], [-72.7769203, 41.5945453], [-72.748104, 41.5945453], [-72.748104, 41.6160945], [-72.7769203, 41.6160945]]]"
BOX,"[20, 32]","[[[-72.7481079, 41.6125183], [-72.7481079, 41.5909805], [-72.71929929999999, 41.5909805], [-72.71929929999999, 41.6125183], [-72.7481079, 41.6125183]]]"
BOX,"[59, 38]","[[[-71.5959014, 41.5988731], [-71.5959014, 41.577350599999995], [-71.5671386, 41.577350599999995], [-71.5671386, 41.5988731], [-71.5959014, 41.5988731]]]"
BOX,"[60, 39]","[[[-71.5621147, 41.6166286], [-71.5621147, 41.5951099], [-71.5333442, 41.5951099], [-71.5333442, 41.6166286], [-71.5621147, 41.6166286]]]"
BOX,"[63, 39]","[[[-71.475811, 41.6053256], [-71.475811, 41.583814600000004], [-71.44705579999999, 41.583814600000004], [-71.44705579999999, 41.6053256], [-71.475811, 41.6053256]]]"
BOX,"[64, 39]","[[[-71.4470481, 41.6015453], [-71.4470481, 41.5800342], [-71.4182777, 41.5800342], [-71.4182777, 41.6015453], [-71.4470481, 41.6015453]]]"
BOX,"[65, 39]","[[[-71.4182815, 41.5977649], [-71.4182815, 41.5762538], [-71.38951870000001, 41.5762538], [-71.38951870000001, 41.5977649], [-71.4182815, 41.5977649]]]"
BOX,"[70, 40]","[[[-71.2694206, 41.6003055], [-71.2694206, 41.5787944], [-71.2406654, 41.5787944], [-71.2406654, 41.6003055], [-71.2694206, 41.6003055]]]"
BOX,"[71, 41]","[[[-71.235569, 41.6180057], [-71.235569, 41.5964946], [-71.20681379999999, 41.5964946], [-71.20681379999999, 41.6180057], [-71.235569, 41.6180057]]]"
