Station Name,Grid Coordinates,Coordinates
CAR,"[87, 23]","[[[-68.5708499, 43.9239486], [-68.5766387, 43.9028264], [-68.54731960000001, 43.898653700000004], [-68.54152470000001, 43.9197756], [-68.5708499, 43.9239486]]]"
CAR,"[89, 24]","[[[-68.5063989, 43.9367259], [-68.512204, 43.9156013], [-68.4828725, 43.9114173], [-68.4770613, 43.9325415], [-68.5063989, 43.9367259]]]"
CAR,"[90, 24]","[[[-68.4770642, 43.9325419], [-68.4828754, 43.911417699999994], [-68.453552, 43.907229799999996], [-68.4477347, 43.928353699999995], [-68.4770642, 43.9325419]]]"
CAR,"[91, 24]","[[[-68.447739, 43.9283543], [-68.4535563, 43.9072304], [-68.42424390000001, 43.903039], [-68.41842050000001, 43.9241626], [-68.447739, 43.9283543]]]"
CAR,"[92, 24]","[[[-68.4184191, 43.9241624], [-68.42424249999999, 43.9030388], [-68.3949299, 43.8988423], [-68.38910039999999, 43.9199656], [-68.4184191, 43.9241624]]]"
CAR,"[94, 25]","[[[-68.353934, 43.9368854], [-68.3597726, 43.915763500000004], [-68.3304646, 43.9115582], [-68.3246198, 43.9326797], [-68.353934, 43.9368854]]]"
CAR,"[95, 25]","[[[-68.3246156, 43.9326791], [-68.3304603, 43.9115576], [-68.3011464, 43.9073464], [-68.2952955, 43.928467600000005], [-68.3246156, 43.9326791]]]"
CAR,"[96, 25]","[[[-68.2952983, 43.928468], [-68.3011492, 43.9073468], [-68.2718434, 43.903131699999996], [-68.26598639999999, 43.924252499999994], [-68.2952983, 43.928468]]]"
CAR,"[97, 25]","[[[-68.2659808, 43.9242517], [-68.27183769999999, 43.9031308], [-68.2425232, 43.8989094], [-68.23666019999999, 43.920030000000004], [-68.2659808, 43.9242517]]]"
CAR,"[98, 26]","[[[-68.2308042, 43.9411393], [-68.23666809999999, 43.920028], [-68.20736399999998, 43.915803600000004], [-68.20149409999999, 43.9369146], [-68.2308042, 43.9411393]]]"
CAR,"[99, 26]","[[[-68.2014885, 43.9369138], [-68.20735839999999, 43.9158027], [-68.17804559999999, 43.911572], [-68.17216959999999, 43.9326827], [-68.2014885, 43.9369138]]]"
CAR,"[100, 26]","[[[-68.1721725, 43.9326831], [-68.1780485, 43.9115724], [-68.1487439, 43.907337899999995], [-68.1428618, 43.92844829999999], [-68.1721725, 43.9326831]]]"
CAR,"[101, 26]","[[[-68.1428604, 43.928448], [-68.1487425, 43.90733770000001], [-68.1194376, 43.90309800000001], [-68.11354949999999, 43.92420810000001], [-68.1428604, 43.928448]]]"
CAR,"[102, 26]","[[[-68.1135523, 43.9242085], [-68.1194404, 43.9030984], [-68.0901438, 43.898854899999996], [-68.08424950000001, 43.91996459999999], [-68.1135523, 43.9242085]]]"
CAR,"[103, 27]","[[[-68.0783496, 43.9410613], [-68.0842447, 43.9199608], [-68.0549333, 43.9157106], [-68.0490321, 43.936810799999996], [-68.0783496, 43.9410613]]]"
CAR,"[104, 27]","[[[-68.0490349, 43.9368112], [-68.05493609999999, 43.915711], [-68.0256328, 43.911457], [-68.0197256, 43.9325568], [-68.0490349, 43.9368112]]]"
CAR,"[105, 27]","[[[-68.0197284, 43.9325572], [-68.0256356, 43.911457399999996], [-67.9963405, 43.9071995], [-67.9904272, 43.928298999999996], [-68.0197284, 43.9325572]]]"
CAR,"[106, 27]","[[[-67.9904258, 43.9282988], [-67.9963391, 43.9071993], [-67.9670438, 43.9029363], [-67.9611244, 43.9240355], [-67.9904258, 43.9282988]]]"
CAR,"[108, 28]","[[[-67.9258867, 43.9408807], [-67.93181820000001, 43.919772800000004], [-67.90251620000001, 43.91549930000001], [-67.8965787, 43.93660680000001], [-67.9258867, 43.9408807]]]"
CAR,"[111, 28]","[[[-67.8379774, 43.9280462], [-67.8439271, 43.9069392], [-67.8146356, 43.9026521], [-67.8086799, 43.9237587], [-67.8379774, 43.9280462]]]"
CAR,"[112, 28]","[[[-67.8086813, 43.9237589], [-67.8146371, 43.9026523], [-67.785351, 43.8983609], [-67.77938920000001, 43.9194672], [-67.8086813, 43.9237589]]]"
CAR,"[112, 29]","[[[-67.8027256, 43.9448533], [-67.8086822, 43.923755899999996], [-67.7793901, 43.9194641], [-67.7734274, 43.9405612], [-67.8027256, 43.9448533]]]"
CAR,"[114, 29]","[[[-67.7441304, 43.9362643], [-67.7500991, 43.915167499999995], [-67.720815, 43.910866899999995], [-67.7148402, 43.93196329999999], [-67.7441304, 43.9362643]]]"
CAR,"[115, 29]","[[[-67.7148388, 43.931963], [-67.7208136, 43.910866600000006], [-67.6915292, 43.9065609], [-67.6855484, 43.9276569], [-67.7148388, 43.931963]]]"
CAR,"[116, 29]","[[[-67.6855428, 43.9276561], [-67.6915236, 43.90656], [-67.6622306, 43.9022479], [-67.6562437, 43.9233437], [-67.6855428, 43.9276561]]]"
CAR,"[117, 29]","[[[-67.6562549, 43.9233453], [-67.66224179999999, 43.902249600000005], [-67.6329739, 43.8979361], [-67.62698089999999, 43.9190315], [-67.6562549, 43.9233453]]]"
CAR,"[118, 30]","[[[-67.6209755, 43.9401224], [-67.6269711, 43.9190301], [-67.59768000000001, 43.9147087], [-67.59167830000001, 43.9358007], [-67.6209755, 43.9401224]]]"
CAR,"[120, 30]","[[[-67.5623936, 43.9314757], [-67.56840129999999, 43.9103841], [-67.53911819999999, 43.9060538], [-67.53310439999998, 43.927145], [-67.5623936, 43.9314757]]]"
CAR,"[122, 31]","[[[-67.497799, 43.9439107], [-67.5038237, 43.922814800000005], [-67.47454259999999, 43.9184752], [-67.46851179999999, 43.939570800000006], [-67.497799, 43.9439107]]]"
CAR,"[92, 25]","[[[-68.4125924, 43.9452859], [-68.4184188, 43.924163400000005], [-68.3891001, 43.9199666], [-68.3832676, 43.9410888], [-68.4125924, 43.9452859]]]"
CAR,"[93, 26]","[[[-68.3774279, 43.9621978], [-68.3832613, 43.9410848], [-68.3539249, 43.9368809], [-68.3480855, 43.9579936], [-68.3774279, 43.9621978]]]"
CAR,"[95, 26]","[[[-68.3187709, 43.9537884], [-68.32461640000001, 43.9326761], [-68.29529640000001, 43.928464500000004], [-68.28944470000002, 43.949576500000006], [-68.3187709, 43.9537884]]]"
CAR,"[97, 26]","[[[-68.2601239, 43.9453604], [-68.2659816, 43.9242487], [-68.236661, 43.920026899999996], [-68.2307972, 43.9411383], [-68.2601239, 43.9453604]]]"
