Station Name,Grid Coordinates,Coordinates
GYX,"[9, 4]","[[[-72.4849756, 42.7736105], [-72.4898592, 42.7522174], [-72.4607256, 42.7486299], [-72.4558358, 42.7700227], [-72.4849756, 42.7736105]]]"
GYX,"[10, 4]","[[[-72.4558309, 42.7700221], [-72.4607207, 42.7486293], [-72.4315793, 42.745036], [-72.4266835, 42.766428499999996], [-72.4558309, 42.7700221]]]"
GYX,"[12, 4]","[[[-72.3975564, 42.7628324], [-72.40245829999999, 42.7414402], [-72.3733156, 42.7378369], [-72.3684076, 42.7592287], [-72.3975564, 42.7628324]]]"
GYX,"[14, 5]","[[[-72.3343846, 42.7770107], [-72.3393003, 42.7556242], [-72.3101613, 42.7520118], [-72.3052395, 42.7733981], [-72.3343846, 42.7770107]]]"
GYX,"[15, 5]","[[[-72.3052458, 42.7733989], [-72.3101676, 42.75201259999999], [-72.2810433, 42.74839719999999], [-72.2761154, 42.76978309999999], [-72.3052458, 42.7733989]]]"
GYX,"[16, 5]","[[[-72.276114, 42.7697829], [-72.2810419, 42.748397000000004], [-72.25191690000001, 42.74477650000001], [-72.24698300000001, 42.76616220000001], [-72.276114, 42.7697829]]]"
GYX,"[19, 6]","[[[-72.1837706, 42.7802972], [-72.1887203, 42.7589089], [-72.159583, 42.755272500000004], [-72.1546272, 42.776660500000006], [-72.1837706, 42.7802972]]]"
GYX,"[20, 6]","[[[-72.1546335, 42.7766612], [-72.15958930000001, 42.7552733], [-72.13046670000001, 42.7516338], [-72.12550490000001, 42.7730215], [-72.1546335, 42.7766612]]]"
GYX,"[21, 6]","[[[-72.1255063, 42.7730216], [-72.1304681, 42.751634], [-72.1013505, 42.7479901], [-72.0963826, 42.769377500000004], [-72.1255063, 42.7730216]]]"
GYX,"[22, 6]","[[[-72.0963833, 42.7693776], [-72.1013512, 42.7479902], [-72.0722371, 42.744341899999995], [-72.0672632, 42.76572899999999], [-72.0963833, 42.7693776]]]"
GYX,"[24, 7]","[[[-72.0331581, 42.7834462], [-72.0381384, 42.7620706], [-72.00901549999999, 42.758411800000005], [-72.00402919999999, 42.77978710000001], [-72.0331581, 42.7834462]]]"
GYX,"[26, 7]","[[[-71.9749017, 42.7761232], [-71.97989410000001, 42.7547482], [-71.95077130000001, 42.7510795], [-71.94577280000001, 42.772454100000004], [-71.9749017, 42.7761232]]]"
GYX,"[27, 7]","[[[-71.9457798, 42.772455], [-71.9507783, 42.7510803], [-71.9216716, 42.7474087], [-71.9166671, 42.7687831], [-71.9457798, 42.772455]]]"
GYX,"[28, 7]","[[[-71.9166629, 42.7687826], [-71.9216674, 42.7474082], [-71.8925545, 42.7437308], [-71.8875439, 42.765104900000004], [-71.9166629, 42.7687826]]]"
GYX,"[29, 7]","[[[-71.8875495, 42.7651056], [-71.89256010000001, 42.743731499999996], [-71.86346060000001, 42.74005089999999], [-71.85844390000001, 42.76142469999999], [-71.8875495, 42.7651056]]]"
GYX,"[30, 8]","[[[-71.853416, 42.7827975], [-71.8584353, 42.7614246], [-71.829315, 42.7577369], [-71.8242896, 42.7791095], [-71.853416, 42.7827975]]]"
GYX,"[31, 8]","[[[-71.8242938, 42.77911], [-71.8293192, 42.7577374], [-71.8002095, 42.754046100000004], [-71.7951781, 42.77541840000001], [-71.8242938, 42.77911]]]"
GYX,"[33, 8]","[[[-71.7660589, 42.7717213], [-71.7710964, 42.750349400000005], [-71.7419938, 42.746649100000006], [-71.73695020000001, 42.76802070000001], [-71.7660589, 42.7717213]]]"
GYX,"[34, 8]","[[[-71.7369481, 42.7680204], [-71.7419917, 42.746648799999996], [-71.7128871, 42.74294329999999], [-71.7078375, 42.76431459999999], [-71.7369481, 42.7680204]]]"
GYX,"[36, 9]","[[[-71.6736612, 42.7819868], [-71.6787215, 42.760608399999995], [-71.6496109, 42.756892699999995], [-71.6445446, 42.77827069999999], [-71.6736612, 42.7819868]]]"
GYX,"[37, 9]","[[[-71.6445481, 42.7782712], [-71.64961439999999, 42.7568931], [-71.6205131, 42.7531736], [-71.6154406, 42.7745514], [-71.6445481, 42.7782712]]]"
GYX,"[39, 9]","[[[-71.5863277, 42.7708259], [-71.5914062, 42.7494485], [-71.5623162, 42.7457205], [-71.5572316, 42.7670976], [-71.5863277, 42.7708259]]]"
GYX,"[41, 9]","[[[-71.5281175, 42.7633621], [-71.5332081, 42.7419853], [-71.5041126, 42.738246700000005], [-71.499016, 42.75962320000001], [-71.5281175, 42.7633621]]]"
GYX,"[41, 10]","[[[-71.5230298, 42.7847144], [-71.5281192, 42.763354899999996], [-71.49901770000001, 42.759615999999994], [-71.49392230000001, 42.78097519999999], [-71.5230298, 42.7847144]]]"
GYX,"[42, 10]","[[[-71.4939216, 42.7809751], [-71.499017, 42.7596159], [-71.4699163, 42.7558722], [-71.4648148, 42.7772311], [-71.4939216, 42.7809751]]]"
GYX,"[43, 10]","[[[-71.4648176, 42.7772314], [-71.4699191, 42.7558726], [-71.4408261, 42.7521249], [-71.4357186, 42.7734835], [-71.4648176, 42.7772314]]]"
GYX,"[44, 10]","[[[-71.4357165, 42.7734832], [-71.44082399999999, 42.7521246], [-71.41172909999999, 42.7483718], [-71.40661549999999, 42.76973], [-71.4357165, 42.7734832]]]"
GYX,"[45, 10]","[[[-71.4066114, 42.7697294], [-71.4117249, 42.7483712], [-71.38262379999999, 42.7446126], [-71.37750419999999, 42.7659705], [-71.4066114, 42.7697294]]]"
GYX,"[46, 10]","[[[-71.3775105, 42.7659713], [-71.3826301, 42.7446134], [-71.3535438, 42.7408517], [-71.3484181, 42.7622093], [-71.3775105, 42.7659713]]]"
GYX,"[49, 11]","[[[-71.2850879, 42.7760333], [-71.29022939999999, 42.754673100000005], [-71.26113799999999, 42.7508964], [-71.25599049999998, 42.7722563], [-71.2850879, 42.7760333]]]"
GYX,"[50, 11]","[[[-71.2559891, 42.7722561], [-71.2611366, 42.7508962], [-71.2320447, 42.7471145], [-71.2268911, 42.768474000000005], [-71.2559891, 42.7722561]]]"
GYX,"[51, 11]","[[[-71.2268904, 42.7684739], [-71.232044, 42.747114399999994], [-71.2029528, 42.743327799999996], [-71.1977932, 42.764686999999995], [-71.2268904, 42.7684739]]]"
GYX,"[8, 5]","[[[-72.5092413, 42.7985812], [-72.5141205, 42.7771928], [-72.48497300000001, 42.7736091], [-72.48008770000001, 42.794997200000005], [-72.5092413, 42.7985812]]]"
GYX,"[10, 5]","[[[-72.4509398, 42.7914089], [-72.4558312, 42.7700211], [-72.42668370000001, 42.7664274], [-72.42178630000001, 42.7878149], [-72.4509398, 42.7914089]]]"
GYX,"[11, 5]","[[[-72.4217968, 42.7878162], [-72.4266943, 42.7664287], [-72.3975699, 42.762833], [-72.3926664, 42.7842202], [-72.4217968, 42.7878162]]]"
GYX,"[12, 5]","[[[-72.3926531, 42.7842185], [-72.3975566, 42.7628314], [-72.3684078, 42.759227700000004], [-72.3634982, 42.78061460000001], [-72.3926531, 42.7842185]]]"
GYX,"[14, 6]","[[[-72.3294646, 42.7984036], [-72.33438389999999, 42.7770138], [-72.3052388, 42.7734012], [-72.3003135, 42.7947907], [-72.3294646, 42.7984036]]]"
GYX,"[16, 6]","[[[-72.2711819, 42.7911752], [-72.2761133, 42.769785999999996], [-72.2469823, 42.766165199999996], [-72.2420448, 42.787554099999994], [-72.2711819, 42.7911752]]]"
GYX,"[17, 6]","[[[-72.2420399, 42.7875535], [-72.24697739999999, 42.7661646], [-72.21783869999999, 42.762538000000006], [-72.21289509999998, 42.78392650000001], [-72.2420399, 42.7875535]]]"
GYX,"[18, 6]","[[[-72.2129049, 42.7839278], [-72.2178485, 42.7625392], [-72.1887315, 42.7589103], [-72.1837818, 42.780298499999994], [-72.2129049, 42.7839278]]]"
GYX,"[19, 7]","[[[-72.1788217, 42.8016702], [-72.1837715, 42.78029299999999], [-72.1546282, 42.77665639999999], [-72.1496722, 42.79803319999999], [-72.1788217, 42.8016702]]]"
GYX,"[21, 7]","[[[-72.1205452, 42.7943941], [-72.1255073, 42.773017499999995], [-72.0963836, 42.76937339999999], [-72.0914155, 42.79074959999999], [-72.1205452, 42.7943941]]]"
GYX,"[22, 7]","[[[-72.0914162, 42.7907497], [-72.0963843, 42.7693735], [-72.0672641, 42.7657249], [-72.0622899, 42.787100800000005], [-72.0914162, 42.7907497]]]"
GYX,"[25, 8]","[[[-71.9990407, 42.8011626], [-72.0040296, 42.7797882], [-71.9749042, 42.776124599999996], [-71.9699092, 42.7974987], [-71.9990407, 42.8011626]]]"
GYX,"[26, 8]","[[[-71.9699064, 42.7974983], [-71.9749014, 42.7761242], [-71.9457726, 42.772455199999996], [-71.9407715, 42.793828999999995], [-71.9699064, 42.7974983]]]"
GYX,"[28, 8]","[[[-71.9116555, 42.7901571], [-71.91666269999999, 42.7687836], [-71.8875437, 42.7651059], [-71.8825304, 42.7864791], [-71.9116555, 42.7901571]]]"
GYX,"[29, 8]","[[[-71.882536, 42.7864798], [-71.8875493, 42.7651066], [-71.85844370000001, 42.761425700000004], [-71.85342440000001, 42.78279860000001], [-71.882536, 42.7864798]]]"
GYX,"[32, 9]","[[[-71.7901373, 42.7968027], [-71.7951734, 42.7754231], [-71.7660528, 42.7717258], [-71.7610107, 42.7931051], [-71.7901373, 42.7968027]]]"
GYX,"[33, 9]","[[[-71.7610156, 42.7931058], [-71.76605769999999, 42.7717265], [-71.736949, 42.7680258], [-71.7319009, 42.7894048], [-71.7610156, 42.7931058]]]"
GYX,"[35, 9]","[[[-71.7027799, 42.7856981], [-71.7078342, 42.7643195], [-71.6787215, 42.7606084], [-71.6736612, 42.781986800000006], [-71.7027799, 42.7856981]]]"
GYX,"[38, 10]","[[[-71.6103656, 42.7959039], [-71.61543669999999, 42.7745434], [-71.58632029999998, 42.7708175], [-71.58124309999998, 42.7921776], [-71.6103656, 42.7959039]]]"
GYX,"[39, 10]","[[[-71.5812522, 42.7921788], [-71.5863294, 42.7708187], [-71.5572333, 42.7670904], [-71.55215, 42.7884502], [-71.5812522, 42.7921788]]]"
GYX,"[46, 11]","[[[-71.3723864, 42.7873355], [-71.37750969999999, 42.7659744], [-71.34841739999999, 42.762212399999996], [-71.34328799999999, 42.78357319999999], [-71.3723864, 42.7873355]]]"
GYX,"[48, 12]","[[[-71.3090507, 42.8011602], [-71.3141878, 42.7798047], [-71.2850882, 42.7760323], [-71.279945, 42.7973875], [-71.3090507, 42.8011602]]]"
GYX,"[49, 12]","[[[-71.279945, 42.7973875], [-71.2850882, 42.7760323], [-71.2559908, 42.7722552], [-71.2508416, 42.793610099999995], [-71.279945, 42.7973875]]]"
GYX,"[51, 12]","[[[-71.2217354, 42.7898275], [-71.2268907, 42.7684729], [-71.1977935, 42.764686], [-71.1926322, 42.786040199999995], [-71.2217354, 42.7898275]]]"
