Station,coordinate_x,coordinate_y,cor_1_x,cor_1_y,cor_2_x,cor_2_y,cor_3_x,cor_3_y,cor_4_x,cor_4_y,cor_5_x,cor_5_y
OKX,43,76,-73.5186847,41.5977186,-73.523291,41.5761548,-73.4944506,41.572705799999994,-73.4898384,41.59426919999999,-73.5186847,41.5977186
OKX,44,76,-73.4898426,41.5942697,-73.4944548,41.5727063,-73.4656247,41.5692536,-73.46100650000001,41.590816700000005,-73.4898426,41.5942697
OKX,57,78,-73.1057496,41.5921296,-73.1104424,41.5705799,-73.0816248,41.567065899999996,-73.0769259,41.588615299999994,-73.1057496,41.5921296
OKX,58,78,-73.0769349,41.5886164,-73.08163379999999,41.567067,-73.0528361,41.5635505,-73.0481313,41.5850996,-73.0769349,41.5886164
OKX,59,78,-73.0481181,41.585098,-73.0528229,41.5635489,-73.02400089999999,41.5600246,-73.01929019999999,41.581573299999995,-73.0481181,41.585098
OKX,60,79,-73.0145762,41.6031447,-73.01929249999999,41.5815821,-72.9904749,41.5780538,-72.9857526,41.599616,-73.0145762,41.6031447
OKX,61,79,-72.9857553,41.5996164,-72.9904777,41.578054200000004,-72.9616676,41.5745219,-72.9569393,41.5960838,-72.9857553,41.5996164
OKX,62,79,-72.9569379,41.5960836,-72.9616662,41.5745217,-72.9328554,41.5709845,-72.9281211,41.5925461,-72.9569379,41.5960836
OKX,69,80,-72.7504898,41.5927606,-72.7552591,41.5712161,-72.7264578,41.5676462,-72.72168260000001,41.5891903,-72.7504898,41.5927606
OKX,70,80,-72.7216826,41.5891903,-72.72645779999999,41.5676462,-72.6976586,41.5640716,-72.6928774,41.5856154,-72.7216826,41.5891903
OKX,71,80,-72.692876,41.5856152,-72.6976572,41.564071399999996,-72.66885719999999,41.560491799999994,-72.66407,41.582035299999994,-72.692876,41.5856152
OKX,72,80,-72.6640687,41.5820351,-72.6688558,41.5604916,-72.6400551,41.556906999999995,-72.635262,41.5784502,-72.6640687,41.5820351
OKX,72,81,-72.6592774,41.6035852,-72.664068,41.5820382,-72.6352613,41.5784533,-72.6304648,41.5999999,-72.6592774,41.6035852
OKX,73,81,-72.6304689,41.6000004,-72.6352654,41.5784538,-72.6064691,41.5748653,-72.6016666,41.596411599999996,-72.6304689,41.6000004
OKX,74,81,-72.6016597,41.5964107,-72.6064622,41.5748644,-72.577654,41.5712695,-72.5728456,41.5928155,-72.6016597,41.5964107
OKX,75,81,-72.5728539,41.5928165,-72.5776623,41.5712705,-72.5488729,41.567673,-72.5440585,41.589218699999996,-72.5728539,41.5928165
OKX,76,81,-72.5440537,41.5892181,-72.54886800000001,41.5676724,-72.52007090000001,41.5640691,-72.5152506,41.5856144,-72.5440537,41.5892181
OKX,77,81,-72.5152527,41.5856147,-72.5200729,41.5640693,-72.491282,41.5604619,-72.4864558,41.5820069,-72.5152527,41.5856147
OKX,78,81,-72.4864551,41.5820068,-72.4912813,41.5604618,-72.4624911,41.5568495,-72.4576589,41.5783942,-72.4864551,41.5820068
